,beds,baths,size,,price,location
65,2,1,1113,,5950000,High Court
66,4,2,2100,,9500000,Himayathnagar
67,3,2.5,2620,,1300000,Himmatnagar
68,3,2,1270,,7270000,Hindi Bhawan
69,3,2,2702,,1605000,Hindustan Cables ltd
70,4,3.5,2031,,1480000,Huda Residential complex
71,3,2,2350,,8880000,Humayunnagar
72,4,1.5,2640,,1850000,Hussainialam
73,3,1.5,1340,,6150000,Hyd Airport ii
74,6,3.5,8660,,4100000,Hyd Airport i
75,2,2.5,1365,,5250000,Hyder Shah kote
76,1,1,635,,5090950,Hyderabad Jubilee
77,3,1,1800,,5490000,Hyderabad Public school
78,2,1,870,,5550000,Hyderabad.
79,3,3.5,1510,,6600000,Hyderguda
80,3,1,1120,,6150000,I.E.nacharam
81,4,2.5,2580,,1635000,I.M.colony
82,2,2,875,,4200000,Iict
83,3,4,2220,,1650000,Ibrahim Bagh lines
84,1,1,607,,4270000,Ie Moulali
85,3,2,1496,,9100000,Jaggamguda
86,4,3.5,2670,,1022700,Jama I osmania
87,2,1.5,1810,,9250000,Jeedimetla
88,1,1,582,,3600000,Jillellaguda
89,2,2,1006,,9280000,Jntu Kukat pally
90,3,5.5,1530,,6350000,Jubilee Hills
91,2,1,820,,4900000,Kakatiya Nagar
92,3,2,1960,,9500000,Kanchanbagh
93,4,3,2110,,7600000,Karmanghat
94,4,3.5,3010,,9850000,Karwan Sahu
95,3,1,2200,,1250000,Katchvanisingaram
96,3,2.5,1820,,6900000,Kattedan Ie
97,4,4,3040,,1585000,Keesara
98,3,2,1800,,9360000,Keesaragutta
99,1,1,800,,4500000,Keshogiri
100,3,3,1450,,7500000,Khairatabad
101,1,1,756,,550000,Khapra
102,1,1,742,,354000,Kingsway
103,4,2,2400,,1385000,Kishanbagh
104,2,2,1607,,1865000,Kismathpur
105,4,3.5,3057,,1800000,Kolthur
106,1,1,649,,3460600,Korremal
107,4,4,3142,,1600000,Kulsumpura
108,3,1,1050,,3990950,Kushaiguda
109,3,2,1720,,8550000,Kutbullapur
110,3,3.5,2650,,1095000,Kyasaram
111,2,1.5,2680,,1125000,L B nagar
112,4,2.5,2550,,1560000,Lic Division
113,9,4,3800,,1343000,Lalgadi Malakpet
114,2,2,1320,,5250000,Lallaguda
115,4,2,1910,,6300000,Lallapet
116,2,1,773,,3600000,Lunger House
117,1,1,589,,3750000,Mg Road
118,1,1,510,,3025000,Madhapur
119,4,3.5,2661,,1165000,Malakpet Colony
120,2,2,843,,3462050,Mallapur
121,4,3,2250,,1150000,Mamidipalli
122,4,1.5,2080,,9500000,Mangalhat
123,3,3.5,1370,,6995000,Mansoorabad
124,1,1,699,,3350000,Moazzampura
125,2,3,1840,,8000000,Moghalpura
126,4,3.5,3040,,1495000,Moosapet
127,2,1,858,,5000000,Moulali
128,5,8.5,3110,,1606500,Mudchintanapalli
129,2,2,1147,,7499050,Murad Nagar
130,2,1,868,,4150000,Musheerabad Dso
131,2,2.5,1538,,8950000,Musheerabad Ndso
132,2,1,1480,,7200000,Nallakunta
133,2,2,932,,4350000,Nanakramguda
134,2,2,981,,4500000,Napier Lines
135,2,2,866,,5550000,Narayanguda
136,4,3.5,2000,,8700000,Nehrunagar
137,3,3.5,1470,,8450000,New Maruthi nagar
138,2,2,1840,,1200000,New Mla quarters
139,4,2,2230,,9250000,New Nallakunta
140,2,1.5,1290,,7950000,Ngri
141,3,2.5,1670,,6000000,Nimboliadda
142,1,1,630,,4590000,Nutankal
143,3,2,1880,,9110000,Old Malakpet
144,2,2,1188,,1350000,Old Mla quarters
145,2,1.5,1300,,5702808,Osmania General hospital
146,1,1,857,,5290000,Osmannagar
147,2,2,1071,,6050000,P & t colony
148,5,4,2810,,1295000,Padmaraonagar
149,4,2.5,2400,,1595000,Padmavathi Nagar
150,3,3.5,1670,,6000000,Pahadishareef
151,3,2.5,2734,,1605200,Parishram Bhawan
152,3,2.5,1670,,8650000,Pedalaxmapur
153,3,3,1530,,7450000,Peerzadiguda
154,4,1,1720,,5437050,Picket
155,3,1,1200,,1099950,Pragatinagar
156,5,3,2030,,905000,Prakashamnagar
157,3,2,2370,,1200000,Pratapsingaram
158,3,1.5,1720,,825000,Putlibowli
159,1,1,813,,6800000,Quazipura
160,3,2,1590,,7200000,R.C.imarat
161,1,1,626,,3892000,Rahmath Nagar
162,2,1,840,,4890000,Rail Nilayam
163,2,2,1030,,5750000,Raj Bhawan
164,5,2.5,2870,,5200000,Rajbolaram
165,1,1,792,,6750000,Rajendranagar
166,2,1.5,994,,5800000,Ramakrishanapuram
167,3,2,1630,,6300000,Ramakrishna Mutt
168,3,1.5,1172,,6850000,Ramkoti
169,3,2,1806,,799000,Rampallidiara
170,4,2.5,3060,,1450000,Rangareddy Dt courts
171,5,3.5,3820,,1350000,Ravalkol
172,2,2,1328,,5100000,Reinbazar
173,3,2.5,2350,,1582800,Rompalli
174,3,2.5,2080,,9770000,Sahifa
175,3,1,1000,,7100000,Saidabad
176,2,1.5,1131,,6850000,Saidabad Colony
177,4,3,2230,,1205000,Sainagar
178,5,3,3130,,2095000,Sakkubai Nagar
179,5,3,3750,,1580000,Sanath Nagar colony
180,2,2,1080,,4500000,Sanathnagar I e
181,2,2,1720,,9850000,Sanjeev Reddy nagar
182,1,1,854,,4505000,Santoshnagar Colony
183,3,2,1286,,7308000,Saroornagar
184,2,1.5,1230,,6500000,Secunderabad
185,2,1,1422,,7150000,Seetharampet
186,4,3.5,3956,,3200000,Seminary
187,6,5,3620,,1420000,Shahalibanda
188,3,1.5,1370,,6599050,Shantinagar
189,1,1,700,,325100,Shivarampalli
190,2,3,1824,,2458000,Shyam Nagar
191,1,1,956,,870000,Sitaphalmandi
192,4,2,2370,,1350000,Snehapuri Colony
193,4,2.5,2200,,8250000,Somajiguda
194,6,3,3020,,7750000,South Banjara hills
195,5,3,3400,,7565000,Srinagar Colony
196,3,1,1660,,7499000,Srinivasapuram
197,4,2,2080,,6750000,Sripuram Colony
198,2,1.5,917,,6250000,State Bank of hyderabad
199,2,1,900,,4800000,State Bank of india
200,4,4.5,3960,,24850000,Stn Kachiguda
201,1,1,889,,72300000,Sultanshahi
202,5,3.5,3310,,15750000,Suraram
203,1,1,621,,28990000,Survey Of india
204,3,3.5,1467,,85909090,Svpnpa
205,4,2,1910,,68500000,Swarajyanagar
206,3,2.5,1563,,83909050,Tadbun
207,5,3.5,3340,,9800000,Tagarikanaka
208,4,3,2390,,13000000,Tarnaka
209,2,1.5,1131,,6700000,Thimmaipalli
210,2,2,1201,,69990050,Thumkunta
211,3,3,1940,,45000000,Toli Chowki
212,1,1,519,,35400000,Turkapalliyadaram
213,2,1,1760,,71500000,Uppal
214,4,3,1680,,90500000,Uppuguda
215,2,2,1192,,71990500,Vaidehinagar
216,4,4,2300,,14400000,Vaishalinagar
217,3,2.5,2304,,11000000,Vanastalipuram
218,4,4,2650,,10000000,Vengal Rao nagar
219,5,4,4210,,26250000,Vidhan Sabha
220,4,3,2840,,13500000,Vidyanagar
221,2,1,980,,86300000,Vijay Nagar colony
222,4,4.5,2440,,19000000,Vikarabad
223,2,2,1140,,59000000,Yadgarpalli
224,4,3.5,1824,,12990000,Yakutpura
225,2,2,1115,,10690000,Yousufguda
226,4,3,2478,,20950000,Zamistanpur
227,2,2,1140,,6650000,Zindatelismath
